RH,fRHSeaSalt,fRHs,fRHl
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1.38,1.31
38,1,1.4,1.32
39,1,1.42,1.34
40,1,1.44,1.35
41,1,1.46,1.36
42,1,1.48,1.38
43,1,1.49,1.39
44,1,1.51,1.41
45,1,1.53,1.42
46,1,1.55,1.44
47,2.3584,1.57,1.45
48,2.3799,1.59,1.47
49,2.4204,1.62,1.49
50,2.4488,1.64,1.5
51,2.4848,1.66,1.52
52,2.5006,1.68,1.54
53,2.5052,1.71,1.55
54,2.5279,1.73,1.57
55,2.5614,1.76,1.59
56,2.5848,1.78,1.61
57,2.5888,1.81,1.63
58,2.616,1.83,1.65
59,2.6581,1.86,1.67
60,2.6866,1.89,1.69
61,2.7341,1.92,1.71
62,2.7834,1.95,1.73
63,2.8272,1.99,1.75
64,2.8287,2.02,1.78
65,2.8594,2.06,1.8
66,2.8943,2.09,1.83
67,2.9105,2.13,1.86
68,2.9451,2.17,1.89
69,3.0105,2.22,1.92
70,3.0485,2.26,1.95
71,3.1269,2.31,1.98
72,3.1729,2.36,2.01
73,3.2055,2.41,2.05
74,3.2459,2.47,2.09
75,3.2673,2.54,2.13
76,3.3478,2.6,2.18
77,3.4174,2.67,2.22
78,3.5202,2.75,2.27
79,3.5744,2.84,2.33
80,3.6329,2.93,2.39
81,3.6905,3.03,2.45
82,3.808,3.15,2.52
83,3.9505,3.27,2.6
84,4.0398,3.42,2.69
85,4.1127,3.58,2.79
86,4.2824,3.76,2.9
87,4.494,3.98,3.02
88,4.6078,4.23,3.16
89,4.8573,4.53,3.33
90,5.1165,4.9,3.53
91,5.3844,5.35,3.77
92,5.7457,5.93,4.06
93,6.1704,6.71,4.43
94,6.7178,7.78,4.92
95,7.3492,9.34,5.57
